Team Name,Power Rating,Offense Rating,Defense Rating,Strength of Schedule
App State,-5.67,-1.58,-4.1,42.28
Toledo,-5.72,-3.42,-2.3,39.53
Georgia Southern,-5.84,-1.77,-4.07,43.28
South Florida,-5.92,-0.73,-5.19,45.62
Old Dominion,-6.04,-2.77,-3.27,45.08
Jacksonville State,-6.13,-1.79,-4.34,36.3
Coastal Carolina,-6.45,-2.12,-4.33,44.82
UConn,-6.99,-4.07,-2.92,40.53
Western Kentucky,-7.03,-3.67,-3.35,38.32
Liberty,-7.09,-3.24,-3.84,35.94
North Texas,-7.57,-0.95,-6.62,42.03
Bowling Green,-7.99,-5.12,-2.88,39.61
Wyoming,-8.15,-6.02,-2.13,43.3
Northern Illinois,-8.23,-6.39,-1.84,39.49
Colorado State,-8.79,-5.39,-3.4,45.01
Utah State,-9.1,-0.97,-8.13,44.51
Georgia State,-9.37,-3.56,-5.82,47.17
Nevada,-9.51,-5.27,-4.23,44.11
Sam Houston,-10.11,-7.18,-2.93,43.54
Rice,-10.38,-5.97,-4.41,42.64
Buffalo,-10.39,-4.95,-5.43,39
UAB,-10.57,-3.54,-7.02,43.26
Arkansas State,-10.63,-4.02,-6.61,42.55
Western Michigan,-11.16,-4.77,-6.39,41.07
San Diego State,-11.2,-6.7,-4.5,43.2
New Mexico,-12.06,-2.99,-9.08,45.09
Florida Atlantic,-12.5,-6.37,-6.12,42.71
Hawai'i,-12.56,-7.1,-5.46,42.71
UL Monroe,-13.06,-7.05,-6.01,43.4
Louisiana Tech,-13.78,-7.96,-5.82,37.96
Central Michigan,-13.82,-7.32,-6.5,39.99
Missouri State,-14.31,-4.75,-9.56,39.48
Eastern Michigan,-14.39,-7.42,-6.97,41.73
Charlotte,-14.57,-6.88,-7.7,46.02
Ball State,-14.89,-6.33,-8.56,40.4
Temple,-16.57,-8.26,-8.32,44.3
Tulsa,-16.99,-6.02,-10.97,43.76
Florida International,-17.02,-8.67,-8.35,42.88
Akron,-17.23,-9.4,-7.83,38.42
Delaware,-17.39,-8.54,-8.85,39.67
UTEP,-17.66,-9.21,-8.45,38.49
Middle Tennessee,-17.71,-9.27,-8.44,38.15
New Mexico State,-17.83,-8.28,-9.55,37.61
Massachusetts,-19.35,-8.56,-10.79,40.41
Southern Miss,-19.67,-9.91,-9.76,42.33
Kent State,-25,-11.76,-13.24,41.55
Kennesaw State,-25.16,-13.7,-11.46,38.72
,,,,
VERIFICATION (FBS AVERAGES):,New Averages Should Be ~0.00,,,
New FBS Averages:,0,0,0,
